Vendor ID,Vendor Name,Item type,Item ID,Item name,Barcode,SKU,Stock Unit,Vendor item ID,Default quantity,Default price,Primary vendor,Active
13,House of Spices,product,3313,Laxmi Pista 7oz,723246172132,723246172132,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3314,Laxmi Pkl Masala 14oz,723246177229,723246177229,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3315,Laxmi Poha Makai 400Gm,723246121574,723246121574,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3097,Laxmi POHA THICK 2lb,723246121260,723246121260,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3316,Laxmi poha Thin 28oz,723246121420,723246121420,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3098,Laxmi POHA THIN 4LB,723246121505,723246121505,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3317,Laxmi PohaThick 4LB,723246121512,723246121512,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3318,Laxmi PONNI BOIL 20LB,4679900IJ,4679900IJ,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3319,Laxmi Ponni Boiled 10LB,1621,1621,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3320,Laxmi PONNI RAW 20LB,98742,98742,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3321,Laxmi PonniRaw 10LB,723246115122,723246115122,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3322,Laxmi PonniRaw 20LB,723246115115,723246115115,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3323,Laxmi Potato Racket 14oz,723246125312,723246125312,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3324,Laxmi PUFFED RICE 400g,7232462361006,7232462361006,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3325,Laxmi PunjabiTindaCut 300Gm,723246165257,723246165257,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3419,Laxmi PURE PEANUT OIL 2.84L,723246270029,723246270029,Unit,,1.0000,0.0000,Yes,Yes
